timestamp,open,high,low,close,volume,turnover,datetime
1720382400000,0.6647,0.6667,0.637,0.6399,655544.38,425541.784063,2024-07-07 20:00:00
1720396800000,0.6399,0.6483,0.6126,0.6386,1491149.68,939483.469291,2024-07-08 00:00:00
1720411200000,0.6386,0.6526,0.6335,0.6437,976463.26,627872.916466,2024-07-08 04:00:00
1720425600000,0.6437,0.697,0.6417,0.6941,2408122.89,1636594.378428,2024-07-08 08:00:00
1720440000000,0.6941,0.6958,0.6546,0.6676,3564940.26,2417543.870755,2024-07-08 12:00:00
1720454400000,0.6676,0.678,0.66,0.676,1459775.98,977968.371666,2024-07-08 16:00:00
1720468800000,0.676,0.6783,0.6685,0.6735,667116.0,449091.504051,2024-07-08 20:00:00
1720483200000,0.6735,0.6895,0.6667,0.6859,1125300.3,762326.598104,2024-07-09 00:00:00
1720497600000,0.6859,0.6918,0.6771,0.6897,676834.63,464802.614058,2024-07-09 04:00:00
1720512000000,0.6897,0.6963,0.6816,0.6862,936243.51,645192.855296,2024-07-09 08:00:00
1720526400000,0.6862,0.7096,0.6783,0.7041,2034756.39,1411691.848701,2024-07-09 12:00:00
1720540800000,0.7041,0.7375,0.7017,0.7344,2988171.03,2148583.70952,2024-07-09 16:00:00
1720555200000,0.7344,0.7575,0.725,0.7433,3202314.17,2373738.6757,2024-07-09 20:00:00
1720569600000,0.7433,0.7452,0.7217,0.735,1636429.84,1199156.443949,2024-07-10 00:00:00
1720584000000,0.735,0.7678,0.7345,0.7572,2984887.17,2253380.879997,2024-07-10 04:00:00
1720598400000,0.7572,0.7578,0.7397,0.745,1773757.99,1325823.473361,2024-07-10 08:00:00
1720612800000,0.745,0.7455,0.7193,0.7305,2033828.24,1486411.621938,2024-07-10 12:00:00
1720627200000,0.7305,0.7398,0.7276,0.7324,847484.16,622096.834391,2024-07-10 16:00:00
1720641600000,0.7324,0.7397,0.7242,0.7377,813120.79,594209.55207,2024-07-10 20:00:00
1720656000000,0.7377,0.7563,0.727,0.7346,1381199.96,1024087.746171,2024-07-11 00:00:00
1720670400000,0.7346,0.7567,0.732,0.7504,1452022.95,1085468.713588,2024-07-11 04:00:00
1720684800000,0.7504,0.7613,0.746,0.7603,1455049.72,1094913.826504,2024-07-11 08:00:00
1720699200000,0.7603,0.7786,0.745,0.7496,2580027.29,1971101.601696,2024-07-11 12:00:00
1720713600000,0.7496,0.7745,0.7431,0.7601,1738937.96,1329123.876292,2024-07-11 16:00:00
1720728000000,0.7601,0.767,0.7499,0.7561,1468613.79,1113768.142355,2024-07-11 20:00:00
1720742400000,0.7561,0.7717,0.7457,0.7549,1650970.1,1257296.862638,2024-07-12 00:00:00
1720756800000,0.7549,0.769,0.745,0.7512,1911387.71,1447719.931462,2024-07-12 04:00:00
1720771200000,0.7512,0.7568,0.7312,0.7317,1705610.49,1267653.767116,2024-07-12 08:00:00
1720785600000,0.7317,0.7528,0.7308,0.7431,942942.49,697817.778657,2024-07-12 12:00:00
1720800000000,0.7431,0.751,0.734,0.7401,1032428.19,766079.214956,2024-07-12 16:00:00
1720814400000,0.7401,0.7485,0.7331,0.7485,407024.52,301399.835648,2024-07-12 20:00:00
1720828800000,0.7485,0.7535,0.7443,0.7494,368996.13,276210.022745,2024-07-13 00:00:00
